logFC	logCPM	F	PValue	FDR
ENSG00000060718.20|mRNA|COL11A1|ENSG00000060718.20|ENSG00000060718.20|0|8512	6.40512258287968	4.2270570843536	295.275875149576	4.17076456521885e-15	7.86272535835057e-11
ENSG00000103888.16|mRNA|CEMIP|ENSG00000103888.16|ENSG00000103888.16|0|7621	5.40094658149342	6.35802181880689	257.611204729258	1.92512872233958e-14	1.81462633367729e-10
ENSG00000214039.8|lncRNA|LINC02418|ENSG00000214039.8|ENSG00000214039.8|0|4708	9.1691111347869	3.78514892816652	246.381335411562	3.1611420937137e-14	1.98646169168969e-10
ENSG00000129474.15|mRNA|AJUBA|ENSG00000129474.15|ENSG00000129474.15|0|5979	3.14381557277096	3.80143108322042	231.41431102187	6.32834831954858e-14	2.98255056300324e-10
ENSG00000122641.10|mRNA|INHBA|ENSG00000122641.10|ENSG00000122641.10|0|8302	5.41264653210492	4.24811688785732	216.836628312017	1.29549733330058e-13	4.88454314547651e-10
ENSG00000173898.11|mRNA|SPTBN2|ENSG00000173898.11|ENSG00000173898.11|0|9137	3.47383832739967	4.80573070731837	179.549544978281	1.00779169478021e-12	2.59259437668035e-09
ENSG00000122778.9|mRNA|KIAA1549|ENSG00000122778.9|ENSG00000122778.9|0|12427	2.66281741403098	4.18668923415537	178.472423241896	1.07518335921284e-12	2.59259437668035e-09
ENSG00000164932.12|mRNA|CTHRC1|ENSG00000164932.12|ENSG00000164932.12|0|1776	4.1083644907305	4.20175795042628	178.091235458428	1.10018857486966e-12	2.59259437668035e-09
ENSG00000105989.8|mRNA|WNT2|ENSG00000105989.8|ENSG00000105989.8|0|3005	5.546540290921	2.60333029030448	170.171540642634	1.79185691732433e-12	3.68646262330591e-09
ENSG00000159263.15|mRNA|SIM2|ENSG00000159263.15|ENSG00000159263.15|0|7652	4.98265673831034	3.39925399866435	168.78605888221	1.95547561176847e-12	3.68646262330591e-09
ENSG00000164283.12|mRNA|ESM1|ENSG00000164283.12|ENSG00000164283.12|0|2695	5.47798848757464	1.62192761836345	163.366086917705	2.76941302319104e-12	4.37176098116353e-09
ENSG00000006704.10|mRNA|GTF2IRD1|ENSG00000006704.10|ENSG00000006704.10|0|6498	2.59310645279611	5.92716832074063	162.26713325057	2.97554856770698e-12	4.37176098116353e-09
ENSG00000196950.13|mRNA|SLC39A10|ENSG00000196950.13|ENSG00000196950.13|0|6917	2.0726015100812	4.61029420671667	160.968220462226	3.24084874630984e-12	4.37176098116353e-09
ENSG00000171617.13|mRNA|ENC1|ENSG00000171617.13|ENSG00000171617.13|0|5858	1.97361511698579	6.62920830443596	160.844666216163	3.26738713889158e-12	4.37176098116353e-09
